Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
043,0200,043,0000,000,0000,000,0000,0000,004,0100
043,0200,044,0200,043,0200,000,0043,0000,004,0100
044,AAFD,045,AAFD,586,FEE2,000,FFFD,FEE2,008,1000,042,0587
045,EE11,046,EE11,057,FEE2,000,0011,FEE2,008,1000,057,FEE2
046,1203,047,1203,046,1203,000,0046,FE00,008,1000
047,2F40,048,2F40,047,0040,000,0040,0000,004,0100
048,F0FD,046,F0FD,048,F0FD,000,FFFD,0000,004,0100
046,1203,047,1203,046,1203,000,0046,0000,004,0100
047,2F40,048,2F40,047,0040,000,0040,0000,004,0100
048,F0FD,046,F0FD,048,F0FD,000,FFFD,0000,004,0100
046,1203,047,1203,046,1203,000,0046,0040,004,0100
047,2F40,048,2F40,047,0040,000,0040,0040,000,0000
048,F0FD,049,F0FD,048,F0FD,000,0048,0040,000,0000
049,AE0D,04A,AE0D,057,FEE2,000,000D,FEE2,008,1000
04A,2E0D,04B,2E0D,058,00FF,000,000D,00E2,000,0000
04B,1302,04C,1302,04B,1302,000,004B,00E2,000,0000
04C,F009,04D,F009,04C,F009,000,004C,00E2,000,0000
04D,1203,04E,1203,04D,1203,000,004D,0000,000,0000
04E,2F40,04F,2F40,04E,0040,000,0040,0000,004,0100
04F,F0FD,04D,F0FD,04F,F0FD,000,FFFD,0000,004,0100
04D,1203,04E,1203,04D,1203,000,004D,0000,004,0100
04E,2F40,04F,2F40,04E,0040,000,0040,0000,004,0100
04F,F0FD,04D,F0FD,04F,F0FD,000,FFFD,0000,004,0100
04D,1203,04E,1203,04D,1203,000,004D,0000,004,0100
04E,2F40,04F,2F40,04E,0040,000,0040,0000,004,0100
04F,F0FD,04D,F0FD,04F,F0FD,000,FFFD,0000,004,0100
04D,1203,04E,1203,04D,1203,000,004D,0040,004,0100
04E,2F40,04F,2F40,04E,0040,000,0040,0040,000,0000
04F,F0FD,050,F0FD,04F,F0FD,000,004F,0040,000,0000
050,AE06,051,AE06,057,FEE2,000,0006,FEE2,008,1000
051,0680,052,0680,051,0680,000,0051,E2FE,008,1000
052,2E05,053,2E05,058,00FF,000,0005,00FE,000,0000
053,1302,054,1302,053,1302,000,0053,00FE,000,0000
054,F001,055,F001,054,F001,000,0054,00FE,000,0000
055,CEEE,044,CEEE,055,0044,000,FFEE,00FE,000,0000
044,AAFD,045,AAFD,587,EDE3,000,FFFD,EDE3,008,1000,042,0588
045,EE11,046,EE11,057,EDE3,000,0011,EDE3,008,1000,057,EDE3
046,1203,047,1203,046,1203,000,0046,ED00,008,1000
047,2F40,048,2F40,047,0040,000,0040,0000,004,0100
048,F0FD,046,F0FD,048,F0FD,000,FFFD,0000,004,0100
046,1203,047,1203,046,1203,000,0046,0000,004,0100
047,2F40,048,2F40,047,0040,000,0040,0000,004,0100
048,F0FD,046,F0FD,048,F0FD,000,FFFD,0000,004,0100
046,1203,047,1203,046,1203,000,0046,0040,004,0100
047,2F40,048,2F40,047,0040,000,0040,0040,000,0000
048,F0FD,049,F0FD,048,F0FD,000,0048,0040,000,0000
049,AE0D,04A,AE0D,057,EDE3,000,000D,EDE3,008,1000
04A,2E0D,04B,2E0D,058,00FF,000,000D,00E3,000,0000
04B,1302,04C,1302,04B,1302,000,004B,00E3,000,0000
04C,F009,04D,F009,04C,F009,000,004C,00E3,000,0000
04D,1203,04E,1203,04D,1203,000,004D,0000,000,0000
04E,2F40,04F,2F40,04E,0040,000,0040,0000,004,0100
04F,F0FD,04D,F0FD,04F,F0FD,000,FFFD,0000,004,0100
04D,1203,04E,1203,04D,1203,000,004D,0000,004,0100
04E,2F40,04F,2F40,04E,0040,000,0040,0000,004,0100
04F,F0FD,04D,F0FD,04F,F0FD,000,FFFD,0000,004,0100
04D,1203,04E,1203,04D,1203,000,004D,0040,004,0100
04E,2F40,04F,2F40,04E,0040,000,0040,0040,000,0000
04F,F0FD,050,F0FD,04F,F0FD,000,004F,0040,000,0000
050,AE06,051,AE06,057,EDE3,000,0006,EDE3,008,1000
051,0680,052,0680,051,0680,000,0051,E3ED,008,1000
052,2E05,053,2E05,058,00FF,000,0005,00ED,000,0000
053,1302,054,1302,053,1302,000,0053,00ED,000,0000
054,F001,055,F001,054,F001,000,0054,00ED,000,0000
055,CEEE,044,CEEE,055,0044,000,FFEE,00ED,000,0000
044,AAFD,045,AAFD,588,0000,000,FFFD,0000,004,0100,042,0589
045,EE11,046,EE11,057,0000,000,0011,0000,004,0100,057,0000
046,1203,047,1203,046,1203,000,0046,0000,004,0100
047,2F40,048,2F40,047,0040,000,0040,0000,004,0100
048,F0FD,046,F0FD,048,F0FD,000,FFFD,0000,004,0100
046,1203,047,1203,046,1203,000,0046,0040,004,0100
047,2F40,048,2F40,047,0040,000,0040,0040,000,0000
048,F0FD,049,F0FD,048,F0FD,000,0048,0040,000,0000
049,AE0D,04A,AE0D,057,0000,000,000D,0000,004,0100
04A,2E0D,04B,2E0D,058,00FF,000,000D,0000,004,0100
04B,1302,04C,1302,04B,1302,000,004B,0000,004,0100
04C,F009,056,F009,04C,F009,000,0009,0000,004,0100
056,0100,057,0100,056,0100,000,0056,0000,004,0100
